mes,gasto_publicidad_millones,ventas_millones,visitas_web_miles,tasa_conversion_pct
2021-01-01,28.14,136.26,37.79,2.06
2021-02-01,15.2,73.82,22.19,2.49
2021-03-01,18.2,105.67,29.93,2.45
2021-04-01,20.45,134.91,30.88,2.91
2021-05-01,13.27,85.5,22.37,2.36
2021-06-01,18.01,95.56,30.16,1.37
2021-07-01,17.99,91.86,29.26,1.62
2021-08-01,7.47,57.8,17.31,2.67
2021-09-01,24.11,123.36,37.41,2.17
2021-10-01,21.6,104.29,32.61,2.87
2021-11-01,14.25,111.41,21.82,2.44
2021-12-01,16.97,99.31,25.58,1.93
2022-01-01,21.03,257.81,29.57,2.84
2022-02-01,16.43,118.13,26.7,1.9
2022-03-01,16.54,119.29,22.96,1.27
2022-04-01,9.28,74.0,12.71,3.33
2022-05-01,21.33,121.5,31.72,1.34
2022-06-01,18.74,117.55,24.61,2.62
2022-07-01,19.65,109.48,23.76,2.77
2022-08-01,8.84,53.72,18.84,2.37
2022-09-01,27.9,147.73,36.56,1.46
2022-10-01,18.93,120.08,30.31,2.81
2022-11-01,15.68,103.29,23.65,1.58
2022-12-01,30.17,136.51,37.83,1.63
2023-01-01,17.73,102.92,23.77,2.12
2023-02-01,9.3,69.52,16.68,2.69
2023-03-01,15.57,94.34,24.31,2.45
2023-04-01,4.27,75.08,10.23,2.71
2023-05-01,24.3,145.96,33.88,2.08
2023-06-01,15.5,105.74,20.44,2.21
2023-07-01,13.54,97.64,22.94,1.73
2023-08-01,24.43,136.2,29.5,2.14
2023-09-01,8.09,72.37,16.32,2.6
2023-10-01,21.21,116.21,33.43,2.15
2023-11-01,5.61,56.0,17.45,2.54
2023-12-01,14.03,2.02,28.57,2.01
2024-01-01,10.77,108.75,15.18,2.0
2024-02-01,26.77,146.45,39.73,2.32
2024-03-01,28.6,138.12,43.08,2.2
2024-04-01,16.02,93.82,28.57,2.6
2024-05-01,23.04,112.98,30.56,2.39
2024-06-01,16.92,107.02,27.85,3.17
2024-07-01,21.41,122.49,37.13,2.19
2024-08-01,13.48,73.52,18.34,2.19
2024-09-01,7.75,77.19,17.95,1.78
2024-10-01,7.18,62.58,19.24,2.31
2024-11-01,20.3,131.14,28.24,2.64
2024-12-01,31.49,153.93,44.38,1.93
2025-01-01,19.62,132.31,26.37,2.28
2025-02-01,14.85,90.0,21.9,2.66
2025-03-01,29.47,141.75,37.97,2.24
2025-04-01,19.42,114.64,29.94,2.04
2025-05-01,18.61,120.94,28.2,2.79
2025-06-01,19.52,118.14,32.33,2.35
2025-07-01,17.21,88.7,24.11,2.5
2025-08-01,16.14,102.08,25.36,2.89
2025-09-01,9.39,77.19,21.21,2.87
2025-10-01,21.01,111.28,32.79,2.13
2025-11-01,17.43,96.49,23.2,2.04
2025-12-01,25.16,151.51,37.67,2.44
